Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Bids,Asks,Imbalance,Imbalance1h,Imbalance24h,Imbalance1hSign,Imbalance24hSign
973,2,187,53568.76088664763,53191.61,51719.88761100751,14341.830365297403,14.6,6.45,207.0,0.875,1053.2150837227603,801.7494492528747,39147.23682882601,-17584.04372301715,41259.63350593105,17977.151407891295,744.4286992500621,1,1
974,2,187,57093.34712249963,26299.08,54939.845376073215,14168.931999999999,14.1,6.45,207.0,0.875,1008.6077624394406,805.3959919731101,5829.69951396402,-17579.927826361043,17977.151407891295,27938.38372812156,-2192.484482134434,1,-1
975,2,187,61012.00779627497,35849.23,55494.23900653235,13327.758600000003,13.9,7.45,207.0,0.875,1110.2790322962103,988.9297453503771,3049.030341315252,-17597.47413682729,27938.38372812156,18068.12907313699,-2035.5242075460983,1,-1
976,2,187,60060.940502268895,26402.699999999997,57610.783884533266,12778.780000000004,13.9,7.45,217.0,0.875,1029.1483821175746,917.2417427081098,6566.650754665938,-17661.377806509805,18068.12907313699,10905.663619016794,3081.3254316028447,1,1
977,2,187,69003.52157084925,9877.69,63058.78897603259,11951.690000000004,14.1,7.45,217.0,0.875,1304.065880089348,976.0066921427789,9395.371238067808,-17687.677864300455,10905.663619016794,12960.558885320941,6532.549074142224,1,1
978,2,187,64022.12633442494,11437.36,60597.788166824874,11597.93,14.1,6.45,217.0,0.875,1089.5368797264648,850.8229580212671,3188.7344154443344,-17800.564436341745,12960.558885320941,13982.058420051377,2097.9797818713632,1,1
979,2,187,57771.177404170696,11539.769999999999,55327.841992351336,11492.78,14.0,5.45,227.0,0.75,1005.1417795535856,1022.5969389297671,3395.9344509435787,-18009.2301843479,13982.058420051377,11451.9648782871,-3313.751731427612,1,-1
980,2,187,51878.32277551187,11536.900000000001,52376.86288317844,11555.59,13.6,4.45,227.0,0.875,851.8718104221947,918.653431695236,5288.498435784175,-18061.180198621038,11451.9648782871,14154.654478539192,4820.292445813524,1,1
981,2,187,48984.85007999247,11564.010000000002,46085.42426157803,11707.2,13.1,4.45,217.0,0.75,896.4653132319163,805.702475939217,4315.009484428661,-18173.86243118542,14154.654478539192,6375.080277151061,7341.960987557453,1,1
982,2,187,45661.48530233733,7258.3899999999985,43084.374294189714,11574.580000000002,12.8,3.45,217.0,0.875,796.7780885513532,810.6473266200895,15542.380264215368,-18369.906096236067,6375.080277151061,10714.994152644522,4584.342511345712,1,1
983,2,187,42670.27758742577,11363.710000000003,42926.54903164773,11561.150000000001,12.9,2.45,187.0,0.875,721.5230308509397,636.0032630790968,9691.499258208525,-18472.846975922257,10714.994152644522,11563.555148679738,6169.130564669027,1,1
984,2,187,42045.424933310554,11302.73,41324.14823142404,11452.71,13.2,3.45,166.0,1.0,715.8844689251307,680.8708952748005,6375.278722863707,-18702.850736637327,11563.555148679738,9039.458066161373,-2157.5518192988275,1,-1
985,2,187,40350.80760403503,11712.850000000002,38816.74676696968,11769.990000000005,12.9,1.45,176.0,1.0,742.5926998781551,762.6836706961616,3380.7077399678756,-18910.23064516503,9039.458066161373,4883.2911018644845,-1826.4178931230163,1,-1
986,2,187,37894.16590913675,7097.8200000000015,38968.62676852401,11476.260000000002,12.5,1.45,136.0,1.0,599.3949461524446,608.9995850985895,6186.168803639622,-18996.34300921039,4883.2911018644845,3371.301788199551,-624.0356343755229,1,-1
987,2,187,41296.6823238746,6991.18,40953.48541037004,11466.58,12.7,1.45,126.0,1.0,546.4908764695848,681.0212156666666,4883.830652000342,-19119.955564535103,3371.301788199551,5847.365722811031,-3805.867497902582,1,-1
988,2,187,48390.85046732337,7330.6500000000015,48135.48042752357,11453.48,12.6,2.45,126.0,0.816,670.5468613624342,662.1777564008631,4371.834025502082,-19116.584856357593,5847.365722811031,4414.722074072473,4054.319695830447,1,1
989,2,187,57086.02124521461,11898.400000000001,54285.90525086899,11451.210000000001,13.3,3.45,126.0,1.0,855.7701862772417,725.0894753624674,5017.65409253665,-19119.62778757692,4414.722074072473,6827.637116896486,1600.7792318071588,1,1
990,2,187,55445.49740706138,13764.82,57946.95618542319,11981.66,13.6,3.45,116.0,1.0,973.5854400360545,820.5518015256877,8474.607548327243,-19155.766885415076,6827.637116896486,19373.44857384632,-484.2679859362135,1,-1
